predicted_price,actual_price,value_diff,budget,position_needed,popularity,performance,composition_match,age,injury_risk,buy_decision
84,79,5,112,0,0.23,0.64,1,29,0.78,0
51,49,2,172,0,0.88,0.85,0,30,0.93,0
84,80,4,62,0,0.3,0.99,1,34,0.84,0
96,102,-6,244,0,0.66,0.85,1,20,0.72,0
59,67,-8,112,0,0.33,0.75,0,31,0.82,0
70,76,-6,252,1,0.4,0.99,1,22,0.36,0
96,104,-8,154,1,0.04,0.8,1,26,0.96,0
92,85,7,250,0,0.37,0.67,1,24,0.28,1
59,67,-8,141,1,0.76,0.69,1,31,0.65,0
53,63,-10,64,1,0.68,0.76,0,35,0.12,0
54,49,5,209,0,0.59,0.98,1,19,0.72,0
44,45,-1,143,0,0.27,0.55,1,20,0.93,0
93,102,-9,163,0,0.54,0.5,0,21,0.53,0
50,48,2,132,1,0.63,0.85,0,31,0.95,0
98,97,1,175,0,0.74,0.57,0,24,0.64,0
67,66,1,291,1,0.23,0.73,0,21,0.85,0
96,95,1,226,0,0.2,0.83,0,29,0.77,0
59,51,8,178,0,0.38,0.58,0,29,0.83,0
44,37,7,50,1,0.71,0.59,0,30,0.21,0
51,61,-10,181,1,0.66,0.7,0,30,0.16,0
64,71,-7,224,0,0.89,0.72,0,24,0.02,0
47,49,-2,223,0,0.3,0.96,1,21,0.25,0
45,35,10,111,1,0.67,0.6,0,18,0.02,0
48,39,9,65,1,0.68,0.87,0,27,0.5,0
84,90,-6,67,0,0.68,0.73,0,24,0.28,0
90,84,6,209,0,0.54,0.65,0,26,0.13,0
51,50,1,203,1,0.78,0.51,0,26,0.87,0
71,63,8,211,1,0.52,0.8,1,27,0.4,1
64,58,6,114,1,0.92,0.83,0,33,0.57,0
40,50,-10,150,1,0.95,0.57,1,21,0.2,0
46,42,4,273,1,0.28,0.9,0,22,0.81,0
58,65,-7,73,1,0.83,0.96,1,24,0.76,0
68,64,4,76,0,0.45,0.72,1,29,0.08,0
89,79,10,136,1,0.18,0.52,0,34,0.91,0
40,45,-5,111,0,0.6,0.52,1,30,0.15,0
46,44,2,295,0,0.16,0.84,0,22,0.1,0
44,39,5,172,0,0.81,0.58,1,25,0.67,0
72,69,3,107,0,0.78,0.78,1,20,0.94,0
82,81,1,217,0,0.41,0.94,1,30,0.58,0
53,43,10,165,1,0.86,0.54,1,35,0.8,1
85,93,-8,70,1,0.96,0.78,0,30,0.63,0
75,85,-10,274,1,0.12,0.73,1,31,0.02,0
71,71,0,97,1,0.2,0.98,0,21,0.15,0
79,69,10,134,0,0.54,0.71,0,22,0.06,0
58,51,7,147,0,0.73,0.86,1,29,0.17,1
68,71,-3,156,0,0.61,0.65,1,28,0.42,0
93,90,3,134,1,0.03,0.8,1,26,0.3,0
91,82,9,228,0,0.54,0.76,1,29,0.28,1
43,46,-3,170,1,0.13,0.63,1,22,0.66,0
92,96,-4,113,1,0.7,0.78,1,19,0.21,0
67,57,10,176,1,0.64,0.54,1,31,0.56,1
47,44,3,151,1,0.94,0.73,0,22,0.33,0
58,53,5,89,1,0.49,0.84,0,21,0.55,0
68,64,4,104,0,0.5,0.82,1,31,0.64,0
71,73,-2,66,1,0.72,0.77,0,30,0.15,0
64,65,-1,115,1,0.63,0.65,0,27,0.9,0
49,39,10,231,0,0.98,0.91,1,30,0.78,1
82,87,-5,290,0,0.84,0.59,1,35,0.66,0
49,45,4,152,1,0.01,0.99,0,30,0.27,0
75,77,-2,257,1,0.08,0.62,1,35,0.01,0
62,66,-4,147,1,0.52,0.75,0,23,0.09,0
49,40,9,75,0,0.7,0.79,1,22,0.24,1
57,61,-4,242,1,0.5,0.52,1,24,0.55,0
84,87,-3,162,1,0.13,0.52,1,23,0.56,0
64,67,-3,114,1,0.18,0.67,1,29,0.37,0
44,50,-6,154,0,0.22,0.68,1,18,0.33,0
72,81,-9,203,0,0.01,0.92,0,30,0.86,0
91,86,5,149,0,0.8,0.7,0,31,0.27,0
59,67,-8,78,1,0.4,0.71,1,24,0.41,0
100,91,9,291,1,0.23,0.75,0,25,0.52,0
61,56,5,224,0,0.68,0.62,1,23,0.44,0
59,55,4,123,1,0.68,0.7,1,23,0.03,0
68,64,4,120,0,0.75,0.56,0,25,0.59,0
83,86,-3,105,1,0.01,0.72,0,29,0.94,0
42,39,3,52,0,0.89,0.77,1,23,0.34,0
49,46,3,248,0,0.86,0.83,0,20,0.33,0
91,95,-4,81,1,0.97,0.6,0,30,0.93,0
99,89,10,51,0,0.35,0.82,1,25,0.36,0
63,55,8,88,0,0.42,0.57,1,33,0.69,1
57,59,-2,52,0,0.97,0.87,1,20,0.83,0
86,96,-10,212,1,0.8,0.7,0,18,0.57,0
54,45,9,67,0,0.11,0.69,1,28,0.62,1
85,91,-6,269,1,0.19,0.98,0,33,0.66,0
65,64,1,278,1,0.97,0.7,0,23,0.21,0
60,59,1,198,0,0.96,0.5,0,35,0.99,0
49,54,-5,80,0,0.47,0.9,0,18,0.98,0
44,43,1,225,1,0.55,0.67,1,29,0.01,0
76,79,-3,281,0,0.57,0.86,1,33,0.11,0
74,84,-10,156,1,0.91,0.99,0,33,0.96,0
67,74,-7,115,0,0.31,0.73,0,31,0.71,0
84,89,-5,141,0,0.1,0.6,0,19,0.88,0
69,73,-4,272,1,0.42,0.71,1,21,0.98,0
99,98,1,275,0,0.71,0.89,0,22,0.63,0
55,51,4,277,0,0.1,0.83,1,29,0.55,0
100,104,-4,120,1,0.62,0.86,1,21,0.16,0
82,92,-10,74,1,0.29,0.59,0,27,0.69,0
76,74,2,227,1,0.8,0.78,0,22,0.07,0
78,83,-5,275,1,0.83,0.78,0,24,0.23,0
65,73,-8,130,1,0.96,0.75,1,28,0.45,0
61,70,-9,288,0,0.3,0.76,1,18,0.18,0
